item_name,shop_name,city,address,price,material,category,lat,lon
Honda Linh lực,motorcycle_repair,Tuyên Quang,"Honda Linh lực, Đường Tân Trào, Xã Sơn Dương, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,21.6970411,105.3914326
None,motorcycle,Tuyên Quang,"Style Motorbikes Ha Giang, Đường Hoàng Hữu Chuyên, Châng, Chiến Thắng, Hà Giang, Phường Hà Giang 1, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,motorcycle,22.7995312,104.9777231
None,kiosk,Tuyên Quang,"TL 181, Oửa Oải, Sáng Pá, Xã Đường Thượng, Tỉnh Tuyên Quang, Việt Nam",None,None,kiosk,22.9718174,105.1421882
None,supermarket,Tuyên Quang,"TL 176, Xã Du Già, Tỉnh Tuyên Quang, 20318, Việt Nam",None,None,supermarket,22.9323136,105.2235386
None,hairdresser,Tuyên Quang,"TL 176, Xã Du Già, Tỉnh Tuyên Quang, 20318, Việt Nam",None,None,hairdresser,22.9323487,105.2239713
None,supermarket,Tuyên Quang,"TL 176, Xã Du Già, Tỉnh Tuyên Quang, 20318, Việt Nam",None,None,supermarket,22.9312064,105.222977
None,hairdresser,Tuyên Quang,"TL 176, Xã Du Già, Tỉnh Tuyên Quang, 20318, Việt Nam",None,None,hairdresser,22.9302578,105.2232071
None,clothes,Tuyên Quang,"TL 176, Xã Du Già, Tỉnh Tuyên Quang, 20318, Việt Nam",None,None,clothes,22.9322085,105.2231826
None,gift,Tuyên Quang,"Quốc lộ 4C, Xã Phố Bảng, Tỉnh Tuyên Quang, Việt Nam",None,None,gift,23.1694489,105.194898
None,supermarket,Tuyên Quang,"Quốc lộ 4C, Tam Sơn, Xã Minh Tân, Tỉnh Tuyên Quang, Việt Nam",None,None,supermarket,22.9943168,104.9478501
None,car_repair,Tuyên Quang,"Truong Thuy Motor, Đường Trần Phú, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,car_repair,22.8212256,104.987376
None,grocery,Tuyên Quang,"Xã Thượng Sơn, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.6996252,104.8233342
None,grocery,Tuyên Quang,"Xã Thượng Sơn, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.6904861,104.8335313
None,grocery,Tuyên Quang,"Xã Thượng Sơn, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.6925751,104.8323341
None,grocery,Tuyên Quang,"Xã Thượng Sơn, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.7001918,104.8236132
None,grocery,Tuyên Quang,"Xã Tân Tiến, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.7384581,104.7749016
None,grocery,Tuyên Quang,"Xã Tân Tiến, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.7383255,104.7748067
None,convenience,Tuyên Quang,"Xã Tân Tiến, Tỉnh Tuyên Quang, Việt Nam",None,None,convenience,22.744557,104.7624152
None,grocery,Tuyên Quang,"Xã Tân Tiến, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.7448583,104.7634898
None,car_repair,Tuyên Quang,"Đường tỉnh 177, Xã Tân Tiến, Tỉnh Tuyên Quang, Việt Nam",None,None,car_repair,22.7445373,104.7256083
None,grocery,Tuyên Quang,"Đường tỉnh 177, Xã Tân Tiến, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.7447068,104.7255296
None,grocery,Tuyên Quang,"Xã Tân Tiến, Tỉnh Tuyên Quang, Việt Nam",None,None,grocery,22.7447374,104.7626884
None,car_repair,Tuyên Quang,"Xã Tân Tiến, Tỉnh Tuyên Quang, Việt Nam",None,None,car_repair,22.7446167,104.7625056
None,beauty,Tuyên Quang,"Đường Trần Hưng Đạo, Phắc Nghè, Đầu Cầu, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,beauty,23.120284,105.1371656
None,clothes,Tuyên Quang,"Đường Trần Hưng Đạo, Phắc Nghè, Đầu Cầu, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,clothes,23.1198516,105.1382144
None,furniture,Tuyên Quang,"Đường Trần Hưng Đạo, Phắc Nghè, Đầu Cầu, Xã Yên Minh, Tỉnh Tuyên Quang, Việt Nam",None,None,furniture,23.1203455,105.1366335
