name,city,address,lat,lon,video_url,embed_url
Nhà Sách Thăng Long,Ha Noi,"143 Đ. Trần Phú, P. Văn Quán, Hà Đông, Hà Nội 100000, Việt Nam",20.977742,105.785047,https://www.tiktok.com/@thanglongbook/video/7582601035978476808,https://www.tiktok.com/embed/7582601035978476808
Lotte Mall Tây Hồ,Ha Noi,"272 Đ. Võ Chí Công, Phú Thượng, Tây Hồ, Hà Nội, Việt Nam",21.075781,105.814084,https://www.tiktok.com/@camelliars.boutique/video/7270401956743482629,https://www.tiktok.com/embed/7270401956743482629
Chợ Thái,Ha Noi,"HRXV+PF9, Đ. Bến Tượng, Trưng Vương, Thành phố Thái Nguyên, Thái Nguyên, Việt Nam",21.599156,105.844514,https://www.tiktok.com/@slamluonlow/video/7528415356797422855,https://www.tiktok.com/embed/7528415356797422855
Mít Shop,Thai Nguyen Province,"14 Đê Nông Lâm, Quang Trung, Thành phố Thái Nguyên, Thái Nguyên, Việt Nam",21.600534,105.819441, https://www.tiktok.com/@thainguyentattantatt/video/7571390054279613717,https://www.tiktok.com/embed/7571390054279613717
Tiệm vay Mina,Thai Nguyen Province,"Đ. Việt Bắc, Quang Trung, Thành phố Thái Nguyên, Thái Nguyên 24000, Việt Nam",21.596323323937263,105.81602132123486,https://www.tiktok.com/@tiemvay.mina/video/7523562210686160136,https://www.tiktok.com/embed/7523562210686160136
Xiao Mart,Bac Giang Province,"257 Đ. Nguyễn Gia Thiều, P.Tiền An, Bắc Ninh, 16000, Việt Nam",21.18103020370783,106.06608892744184,https://www.tiktok.com/@anchoibacninh/video/7498920964500049159,https://www.tiktok.com/embed/7498920964500049159
Cửa hàng đồng giá 15k,Bac Giang Province,"24 Đ. Dương Đình Nghệ, Phượng Mao, Quế Võ, Bắc Ninh, Việt Nam",21.153950074663065,106.1405037,https://www.tiktok.com/@doclabacninh/video/7349146715175357703,https://www.tiktok.com/embed/7349146715175357703
Thời trang MORI,Ha Giang Province,"16 Nguyễn Văn Linh, P. Quang Trung, Hà Giang, Việt Nam",22.83420019125888,104.9831360563298,https://www.tiktok.com/@thoitrangmory/video/7344941433738071298,https://www.tiktok.com/embed/7344941433738071298
Shop Kiều Hương,Ha Giang Province,"70 Đ. Trần Phú, P. Minh Khai, Hà Giang, Việt Nam",22.82047177092449,104.987406654493,https://www.tiktok.com/@kieuhuong2711/video/7578177565173615890,https://www.tiktok.com/embed/7578177565173615890
Hpet-Siêu thị thú cưng Thanh Hoá,Thanh Hoa Province,"271 Tống Duy Tân, P. Lam Sơn, Thanh Hóa, Việt Nam",19.804356,105.77716045086392,https://www.tiktok.com/@lylythanhhoa/video/7437770606151568647,https://www.tiktok.com/embed/7437770606151568647
shop 2hand,Thanh Hoa Province,"73 Đào Duy Từ, P. Ba Đình, Thanh Hóa, 02373, Việt Nam",19.800550517916832,105.77930278440304,https://www.tiktok.com/@reviewthanhhoa36/video/7203607359711677722,https://www.tiktok.com/embed/7203607359711677722
Vincom Plaza Thanh Hóa,Thanh Hoa Province,"27 Đ. Trần Phú, Khu đô thị mới, Thanh Hóa, 40120, Việt Nam",19.810274963323685,105.77767846113102,https://www.tiktok.com/@vincom.plaza.thanhhoa/video/7554084485831200018,https://www.tiktok.com/embed/7554084485831200018
GO! Thanh Hóa,Thanh Hoa Province,"Phố Đồng Lễ, P. Đông Hải, TP. Thanh Hóa, Việt Nam",19.805482,105.802067,https://www.tiktok.com/@thanhhoathodia/video/7410413036709612801,https://www.tiktok.com/embed/7410413036709612801
Co.opmart Thanh Hóa,Thanh Hoa Province,"18 Phan Chu Trinh, P. Điện Biên, TP. Thanh Hóa, Việt Nam",19.8123,105.773872,https://www.tiktok.com/@co.opmart.thanhhoa/video/7498374506545679624,https://www.tiktok.com/embed/7498374506545679624
Chợ Vườn Hoa,Thanh Hoa Province,"Đầu mối Lê Hoàn, P. Lam Sơn, TP. Thanh Hóa, Việt Nam",19.806701,105.780968,https://www.tiktok.com/@thanhhoapov/video/7477904749933677844,https://www.tiktok.com/embed/7477904749933677844
Chợ Tây Thành,Thanh Hoa Province,"288 Nguyễn Trãi, P. Điện Biên, TP. Thanh Hóa, Việt Nam",19.804066,105.769705,https://www.tiktok.com/@chillxuthanh/video/7278621838203227394,https://www.tiktok.com/embed/7278621838203227394
Chợ Đầu Mối Thanh Hóa,Thanh Hoa Province,"Đường Nguyễn Mộng Tuân, P. Đông Hương, TP. Thanh Hóa, Việt Nam",19.812918,105.730377,https://www.tiktok.com/@lamconmetuyet64/video/7293517587844058386,https://www.tiktok.com/embed/7293517587844058386
Savani Thanh Hóa,Thanh Hoa Province,"360 Trần Phú, P. Ba Đình, TP. Thanh Hóa, Việt Nam",19.8085,105.776,https://www.tiktok.com/@riviuthanhhoa/video/7372386326647180562,https://www.tiktok.com/embed/7372386326647180562
IVY moda Thanh Hóa,Thanh Hoa Province,"36 Quang Trung, P. Ngọc Trạo, TP. Thanh Hóa, Việt Nam",19.8025,105.779,https://www.tiktok.com/@chondocungnang/video/7277575130593725697,https://www.tiktok.com/embed/7277575130593725697
Nem Chua Cây Đa,Thanh Hoa Province,"326 Trường Thi, P. Điện Biên, TP. Thanh Hóa, Việt Nam",19.8075,105.772,https://www.tiktok.com/@anhchoun/video/7522136683911941396,https://www.tiktok.com/embed/7522136683911941396
5S Fashion Thanh Hóa,Thanh Hoa Province,"240 Lê Hoàn, P. Ba Đình, TP. Thanh Hóa, Việt Nam",19.812,105.7805,https://www.tiktok.com/@5sfashion.thanhhoa2/video/7450439535411989778,https://www.tiktok.com/embed/7450439535411989778
Vincom Plaza Hạ Long,Quang Ninh Province,"Khu Cột Đồng Hồ, P. Bạch Đằng, TP. Hạ Long, Việt Nam",20.9547,107.0844,https://www.tiktok.com/@ngquynhdh95/video/7401014082599406865,https://www.tiktok.com/embed/7401014082599406865
